Unnamed: 0,product_name,benefits,disadvantages,category
0,Armani Luminous Foundation,"hydrating, lightweight, natural, buildable, smooth, long-wearing, glowy, non-comedogenic","cakey, drying, oxidizes, fragrance, patchy, poor coverage, settles, expensive",foundation
1,BYOMA Moisturizing Rich Cream,"hydrating, lightweight, non-greasy, soothing, fragrance-free, soft, plump, gentle","cakey, greasy, irritating, pore-clogging, heavy, packaging, breakouts, thick",moisturizer
2,Clinique Dramatically Different Moisturizing Lotion+,"hydrating, lightweight, fragrance-free, fast-absorbing, non-greasy, soothing, softening, silky","cakey, greasy, heavy, irritating, chemical smell, not moisturizing, clogs pores, sticky",moisturizer
3,Dior Forever Skin Glow,"hydrating, lightweight, long-wearing, natural, glowy, buildable, smooth, radiant","oxidizes, cakey, fragrance, greasy, drying, patchy, heavy, settles",foundation
4,Drunk Elephant Lala Retro Whipped Moisturizer,"hydrating, lightweight, nourishing, fragrance-free, non-greasy, soothing, plump, creamy","greasy, thick, irritating, expensive, heavy, breakouts, drying, poor pump",moisturizer
5,Estée Lauder Double Wear,"long-wearing, full coverage, lightweight, matte, buildable, smooth, transfer-resistant, hydrating","cakey, drying, oxidizes, heavy, patchy, irritating, settles, expensive",foundation
6,Estée Lauder Revitalizing Supreme+ Global Anti-Aging Cream,"hydrating, lightweight, smooth, radiant, fragrance-free, non-greasy, plumping, luxurious","greasy, cakey, heavy, scented, irritating, thick, overpowering, oxidizes",moisturizer
7,Fenty Pro Filt'r Soft Matte Foundation,"matte, high-coverage, blurs, long-wearing, lightweight, buildable, natural finish, great coverage","cakey, oxidizes, drying, greasy, patchy, separates, heavy, difficult to blend",foundation
8,Kiehl’s Ultra Facial Moisturizing Cream with Squalane,"hydrating, lightweight, smooth, silky, fragrance-free, non-greasy, plumping, radiant","greasy, cakey, heavy, scented, irritating, drying, thick, overpowering",moisturizer
9,Lancôme Rénergie H.P.N. 300-Peptide Cream,"hydrating, lightweight, moisturizing, smooth, radiant, fragrance-free, non-greasy, plumping","greasy, cakey, heavy, scented, irritating, thick, overpowering, oxidizes",moisturizer
10,Lancôme Teint Idole Ultra Wear Foundation,"lightweight, buildable, long-wearing, natural finish, hydrating, smooth, fragrance-free, medium coverage","oxidizes, cakey, drying, patchy, separates, heavy, greasy, not transfer-proof",foundation
11,NARS Light Reflecting Foundation,"hydrating, lightweight, buildable, natural, glowy, smooth, skin-like, long-wearing","cakey, oxidizes, drying, fragrance, messy, stiff pump, patchy, heavy",foundation
